id	key	label	domain	nes	num_domains	FDR
2050	ELOVL7	2187	0	-0.0	0.0	1.0
2051	ATPIF1	2186	0	-0.0	0.0	1.0
2052	KLHDC3	2185	0	4.027815538961327	0.0	9.379603090039247e-05
2053	RTN3	2184	0	-0.0	0.0	1.0
2054	IL18R1	2183	0	-0.0	0.0	1.0
2055	MACF1	2182	0	-0.0	0.0	1.0
2056	SNTG1	2181	0	-0.0	0.0	1.0
2057	OXSR1	2180	0	-0.0	0.0	1.0
2058	DENND1B	2179	0	-0.0	0.0	1.0
2059	EML6	2178	0	-0.0	0.0	1.0
2060	SIRT6	2177	2	6.668428794217815	12.0	2.1457108920969802e-07
2061	PPP1CC	399	2	7.192437565180986	16.0	6.420405155707252e-08
2062	PPP1R15A	2176	2	6.624072279464392	13.0	2.3764447429217425e-07
2063	EIF2A	840	2	7.074103247261721	16.0	8.431342908948039e-08
2064	BRCA2	2175	24	9.337824554956832	30.0	4.59383555812302e-10
2065	PPP1R35	398	24	13.353991319578189	47.0	4.425972186462329e-14
2066	SNAP29	2174	24	9.337824554956832	30.0	4.59383555812302e-10
2067	SNRNP70	2173	24	9.337824554956832	30.0	4.59383555812302e-10
2068	POLR2M	2172	24	9.337824554956832	30.0	4.59383555812302e-10
2069	RBM25	2171	0	1.77624938555399	0.0	0.016739813472314152
2070	CENPT	2170	24	9.337824554956832	30.0	4.59383555812302e-10
2071	SNRNP48	2169	24	9.337824554956832	30.0	4.59383555812302e-10
2072	DDX41	2168	24	9.337824554956832	30.0	4.59383555812302e-10
2073	BCOR	2167	6	2.231148014256981	6.0	0.005872891612144462
2074	ENO1	2166	26	1.1292793034259363	2.0	0.0742541441123953
2075	ZNF629	2165	0	-0.0	0.0	1.0
2076	FAM208A	396	0	1.4587811741275507	0.0	0.034771131694154446
2077	CDKN1C	2164	0	-0.0	0.0	1.0
2078	RBM27	2163	10	0.970870255380889	1.0	0.10693743049688928
2079	STRADA	2162	5	8.359633212350772	2.0	4.368846516756378e-09
2080	C17orf104	2161	5	0.9908150836815022	1.0	0.10213742775537694
2081	LIN37	670	5	3.577383533000707	4.0	0.0002646162234603349
2082	KIAA1551	2160	0	-0.0	0.0	1.0
2083	WDR82	2159	0	-0.0	0.0	1.0
2084	ZNF445	2158	0	-0.0	0.0	1.0
2085	NRBP1	2157	0	3.823520897475948	0.0	0.0001501340162204923
2086	CUX1	2156	12	0.7866046624301565	2.0	0.16345391892755123
2087	AIP	393	12	1.8296739628451004	5.0	0.014802192135949445
2088	RNF2	2155	0	1.7219568086752166	0.0	0.018968945612206647
2089	UBE2E1	98	0	2.084445930146872	0.0	0.008232923307966133
2090	SCAF4	2154	5	3.06756461814518	2.0	0.0008559243503073596
